Date,,,,,,,Qty,Frac,Item,Unit,Cals,Carb,Fib.
26/06/19,,,,,,,2,,Coffee milk,60,37,5.2,0
,,,,,,,,,Pear,100,43,10.9,1.6
,,,,,,,2,,Easy peelers,53,43,9.1,0
,,,,,,,,,"Banana, small",60,103,23.2,1.1
,,,,,,,,,Nectarine,115,45,9,1.2
,,,,,,,,,Soup,600,37,4.9,1.5
,,,,,,,3,2,Thins,40,225,38.6,3.5
,,,,,,,2,,"Half sugar, teaspoon",4,400,98.9,0
,,,,,,,304,,Chicken lettuce wrap,1,107.7,8,1.7
,,,,,,,231,,Chicken egg foo yong,1,141,4.4,0.6
,,,,,,,200,,Vegetable fried rice,1,219,27.7,2.9
,,,,,,,,,"Protein yoghurt, passion fruit",200,70,6.8,0
,,,,,,,500,,Tonic water,1,2,0,0
,,,,,,,,,"Hoi Sin Sauce, tbsp",16,220,44,2.8
27/06/19,,,,,,,500,,Tonic water,1,2,0,0
,,,,,,,,,"Protein yoghurt, blueberry",200,62,5.3,0
,,,,,,,,,"Banana, small",60,103,23.2,1.1
,,,,,,,40,,All-Bran,1,334,48,27
,,,,,,,150,,"Milk, Activia",1,37,5.2,0
,,,,,,,,,"Half sugar, half teaspoon",2,400,98.9,0
,,,,,,,7,,Carrs Table Water,7.6,412,73.9,4.2
,,,,,,,100,,Smoked Salmon,1,204,1.1,0.2
,,,,,,,100,,Tzatziki,1,129,4.4,0.3
,,,,,,,,3,Onion,240,34.8,7.8,1.5
,,,,,,,,3,Pepper Orange,115,32,7.6,1.4
,,,,,,,100,3,Green Beans,1,32,3.1,3.4
,,,,,,,18,3,Spray oil,0.2,2,0.3,0.1
,,,,,,,,3,"Sweetcorn, tin",165,77,11.8,2.5
,,,,,,,,3,Dolmio Bolognese (N.A.S.),750,38,6.2,1.3
,,,,,,,5,12,"Meatballs,10% fat x 12",350,170,20,0.2
,,,,,,,120,,Spaghetti,1,367.5,73.5,3.2
,,,,,,,500,,Pepsi Max Ginger,1,0.4,0,0
28/06/19,,,,,,,200,,"Apples, braeburn",1,57,11.6,0
,,,,,,,30,,"Beans, green",1,32,3.1,3.4
,,,,,,,15,,Salad leaf,1,24,2.1,1.6
,,,,,,,,,Pepper Orange,115,32,7.6,1.4
,,,,,,,100,,Halloumi cheese,1,328,0.9,0
,,,,,,,,,"Vinaigrette, tbsp",15,368,10,0.7
,,,,,,,5,,New potatoes,30,81,17.5,1.6
,,,,,,,400,,"Schweppes Tonic, slimline",1,2,0,0
,,,,,,,250,,Breakfast juice,1,40,8.5,0.2
,,,,,,,640,3,Chicken breast,1,137,0.2,0
,,,,,,,,3,Onion,240,34.8,7.8,1.5
,,,,,,,,3,Pepper Orange,115,32,7.6,1.4
,,,,,,,100,3,"Beans, green",1,32,3.1,3.4
,,,,,,,,3,Chickpeas,240,122,16.5,6.1
,,,,,,,,3,Coconut cream,250,219,4.5,0.2
,,,,,,,25,,Thai curry paste,1,109,21,0
,,,,,,,0.67,,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,,,"Half sugar, 1/3 teaspoon",1.3,400,98.9,0
29/06/19,,,,,,,75,,Bran Flakes,1,363,67.1,4.1
,,,,,,,250,,"Milk, skimmed",1,37,5,0
,,,,,,,250,,Breakfast juice,1,40,8.5,0.2
,,,,,,,100,,Plaice fillet,1,84,0,0
,,,,,,,50,,Leaf salad,1,24,2.1,1.2
,,,,,,,50,,"Sundried tomato, small",1,213,23,6
,,,,,,,2,,Jersey royal potatoes,50,76,16.1,1
,,,,,,,,10,Onion bits,240,34.8,7.8,1.5
,,,,,,,1,,"Dressing, light",15,161.3,16.1,0
,,,,,,,400,,"Tonic, slimline",1,2,0,0
,,,,,,,400,,"Ginger beer, diet",1,1.7,0,0
,,,,,,,156,,Gin & tonic sorbet,1,99,20.9,0.2
,,,,,,,61,,Carrs Table Water,1,412,73.9,4.2
,,,,,,,100,,Smoked Salmon,1,204,1.1,0.2
,,,,,,,100,,Tzatziki,1,129,4.4,0.3
30/06/19,,,,,,,2,,Eggs,50,155,1.1,0
,,,,,,,1,,Thins,40,225,38.6,3.5
,,,,,,,20,,Lurpak,1,516,0.4,0
,,,,,,,50,,Ham,1,133,0.2,0
,,,,,,,20,,Cheddar,1,416,0.2,0
,,,,,,,800,,"Ginger beer, diet",1,1.7,0,0
,,,,,,,20,,"Squash, grapefruit, NAS",1,7,1.4,0
,,,,,,,,,Orange,150,40,7.8,2.4
,,,,,,,,,"Protein yoghurt, blueberry",200,62,5.3,0
,,,,,,,100,,Baguette,1,273,55.2,2.8
,,,,,,,14,,Spray oil,0.2,2,0.3,0.1
,,,,,,,,,Salmon fillet,120,267,0.2,0
,,,,,,,,2,Prawns,165,108,0.2,0
,,,,,,,,,Carrot/brocc/cauli,240,30,2.9,2.9
,,,,,,,,,Drop scone - our version!,100,227,49,0
,,,,,,,80,2,"Flour, SR",1,335,69.9,3.7
,,,,,,,0.33,2,"Baking powder, tsp",4,148,31.7,4
,,,,,,,,2,"Banana, small",60,103,23.2,1.1
,,,,,,,37,2,"Milk, skimmed",1,37,5,0
,,,,,,,,2,Egg white,25,52,0.7,0
01/07/19,,,,,,,2,,Coffee milk,60,37,5.2,0
,,,,,,,3,,Sugar,1,400,99.9,0
,,,,,,,300,,"Ginger beer, diet",1,1.7,0,0
,,,,,,,200,,"Orange Juice, carton",1,32,6.9,0
